store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
8419537941919820732,60,24,168,0,0,0
54515546588432327,0,5,0,0,0,0
8377465688456570187,0,5,0,0,0,0
5955337179846162144,0,5,0,0,0,0
1169347689335808384,0,5,0,0,0,0
3739729523266121270,0,5,0,0,0,0
4430370444829587327,0,5,0,0,0,0
1912555533282230523,0,5,0,0,0,0
5489547402882838709,0,5,0,0,0,0
759601765366096871,60,24,168,0,0,0
5627904252074297008,0,5,0,0,0,0
2651685499613063745,60,24,168,0,0,0
5043046815492880667,60,24,168,0,0,0
2367299134091594697,60,12,71,97,12,97
6613902849003357359,60,24,168,0,0,0
1396650693591399695,60,24,168,0,0,0
837699569013981799,60,24,139,29,0,29
2057963137235512954,60,24,168,0,0,0
6108568838704593560,60,24,168,0,0,0
7815590034868021689,60,23,161,7,1,7
